Stock Name,Date,Open,High,Low,Close,Adj Close,Volume
POWERGRID,27-04-2020,161.5,161.5,157.649994,159.600006,149.288223,5491127
POWERGRID,28-04-2020,160.050003,160.399994,156.800003,157.199997,147.043274,14700773
POWERGRID,29-04-2020,159.5,160.600006,156,158.050003,147.838364,8161462
POWERGRID,30-04-2020,159.600006,163.449997,157.199997,162.050003,151.579926,10520366
POWERGRID,04-05-2020,160.899994,161.5,157.600006,159.050003,148.773758,7086459
POWERGRID,05-05-2020,161.449997,165.850006,160.199997,163.649994,153.076553,10296872
POWERGRID,06-05-2020,162.899994,166.649994,162.699997,165.399994,154.71347,7230250
POWERGRID,07-05-2020,163.649994,165,161,161.75,151.299301,4815766
POWERGRID,08-05-2020,162.600006,162.600006,158.100006,159,148.72699,17380561
POWERGRID,11-05-2020,159.300003,162.399994,158.350006,158.800003,148.539917,5317551
POWERGRID,12-05-2020,158.5,165,157.699997,163.300003,152.749146,11242144
POWERGRID,13-05-2020,171.449997,171.899994,162.050003,166.649994,155.882706,15286401
POWERGRID,14-05-2020,164,164,160,160.800003,150.41069,14880447
POWERGRID,15-05-2020,159.199997,161.75,158.25,159.800003,149.475296,11255555
POWERGRID,18-05-2020,159.850006,160.199997,153.300003,154.5,144.517731,18505291
POWERGRID,19-05-2020,155,159.300003,154,158.050003,147.838364,6905552
POWERGRID,20-05-2020,156.25,160.649994,155.75,158.449997,148.212509,13880845
POWERGRID,21-05-2020,157.550003,159.850006,157,158.899994,148.633453,9661559
POWERGRID,22-05-2020,157,158,154.100006,155.850006,145.780518,14108025
POWERGRID,26-05-2020,156.149994,158.699997,155.5,157.350006,147.183594,10413388
POWERGRID,27-05-2020,157.350006,157.899994,155.75,157.149994,146.996521,12743485
POWERGRID,28-05-2020,158.350006,158.350006,156.050003,157.25,147.090073,14510845
POWERGRID,29-05-2020,157.25,158.649994,156.600006,157.550003,147.370667,35912738
POWERGRID,01-06-2020,158.550003,161.050003,157.699997,158.850006,148.58667,25489316
POWERGRID,02-06-2020,159.850006,168.350006,158.600006,165.050003,154.386108,24539665
POWERGRID,03-06-2020,165.5,167.5,163.850006,164.550003,153.918411,7769075
POWERGRID,04-06-2020,165.199997,169.949997,165.100006,169.25,158.314728,13495597
POWERGRID,05-06-2020,167,174.300003,164.550003,171.449997,160.372589,12854047
POWERGRID,08-06-2020,173.449997,174.899994,170.850006,172.350006,161.214462,6594520
POWERGRID,09-06-2020,174,174.050003,170,170.550003,159.530746,4732082
POWERGRID,10-06-2020,170.550003,171.25,168.600006,170.050003,159.063049,5682197
POWERGRID,11-06-2020,168.050003,178.300003,167.850006,171,159.95166,12436592
POWERGRID,12-06-2020,166.050003,169.399994,165.600006,166.300003,155.555344,11436624
POWERGRID,15-06-2020,165.199997,166,162.600006,163.25,152.702393,7781253
POWERGRID,16-06-2020,165.699997,166.25,161.449997,162.699997,152.187927,7859719
POWERGRID,17-06-2020,160.850006,161.800003,158.350006,159.5,149.194672,15958699
POWERGRID,18-06-2020,160.699997,166.300003,159.5,165.449997,154.760254,11093064
POWERGRID,19-06-2020,165.850006,172.300003,165.050003,171.399994,160.325806,12137298
POWERGRID,22-06-2020,176.399994,179.75,170.649994,178.600006,167.060638,18584856
POWERGRID,23-06-2020,181.5,189,179.050003,187.449997,175.338837,19292670
POWERGRID,24-06-2020,186.75,188.399994,177,178.5,166.967087,18512175
POWERGRID,25-06-2020,178.399994,183.300003,174.350006,179.350006,167.762177,23011764
POWERGRID,26-06-2020,180.949997,182.100006,178.149994,179.199997,167.621841,6724171
POWERGRID,29-06-2020,178,180.300003,177.149994,178.25,166.733246,4245300
POWERGRID,30-06-2020,179,179.949997,174,174.850006,163.552917,6687893
POWERGRID,01-07-2020,175,175.399994,171.899994,173.449997,162.243347,8555581
POWERGRID,02-07-2020,173.5,176.800003,172.600006,175.100006,163.786758,8708121
POWERGRID,03-07-2020,176,179.399994,175.100006,177.600006,166.125244,12780027
POWERGRID,06-07-2020,178.399994,178.699997,175.800003,178,166.49939,6595019
POWERGRID,07-07-2020,178.5,178.5,171.699997,173.100006,161.915985,11731266
POWERGRID,08-07-2020,173,174.649994,168.800003,169.75,158.782425,9460434
POWERGRID,09-07-2020,170.5,172.5,169.5,171.550003,160.466141,9061924
POWERGRID,10-07-2020,171.600006,173.75,169.5,172.600006,161.448288,13392727
POWERGRID,13-07-2020,172.600006,174.199997,168.199997,169.100006,158.174438,6077138
POWERGRID,14-07-2020,168.5,168.800003,163,163.350006,152.795944,9162522
POWERGRID,15-07-2020,165.050003,166.300003,163.100006,163.550003,152.983017,8472074
POWERGRID,16-07-2020,164.5,164.5,159.5,162.199997,151.72023,8695671
POWERGRID,17-07-2020,161.649994,163.850006,161.649994,163.300003,152.749146,7712963
POWERGRID,20-07-2020,163.300003,164.25,162.350006,163.5,152.936234,4719698
POWERGRID,21-07-2020,164.100006,174.449997,164.100006,173.649994,162.430435,18966124
